Sentences,Aspect,Target,Polarity,Time
"
Tempat nya bersih. Pelayanan nya bagus. Petugas nya ramah2. Serasa di mall bukan di RS.",Cleanliness,NULL,Positive,10 months ago
"
Tempat emang bagus seperti Mall, pelayanannya juga cukup lah.. Namun sepertinya untuk pengobatan saya rasa kurang, dengan harga tinggi, diberi obat yang bisa dibeli di toko pinggiran.",Cost,NULL,Negative,3 years ago
"
Mengecewakan, benar2 tdk sesuai ekspektasi.",NULL,NULL,Negative,11 months ago
"
rumah sakiy terbaik dengan pelayanan yg ramah dan bersih",Cleanliness,NULL,Positive,a year ago
"
Nyaman sekali tempatnya, saat menunggu bisa duduk di kursi pijat (gratis). Ada mesin kopi otomatis dengan harga yg tidak terlalu mahal. Gratis untuk air mineral kemasan.",NULL,NULL,Positive,3 years ago
"
Tempatnya bersih dan depan langsung jalan raya",Cleanliness,NULL,Positive,a year ago
"
RS bagus sih tp untuk tempat parkir susah dan kasirnya lama bgt","Parking, Receptionist&Billing","NULL, NULL","Negative, Negative",2 years ago
"
resepsionisnya ramah, seperti menginap di hotel #nationalhospitalsby",Receptionist&Billing,National Hospital SBY,Positive,a year ago
"
Sayang nya telepon selalu diputuskan sebelum sambung ke pihak RS. Bukan hanya sekali saja terjadi tiap kali saya ingin hubungi RS susah sekali. Harap perbaikan terima telepon jika segitu banyak yg menelepone sekaligus dan tidak layani pasien, tambah lah telepon operator nya.",Receptionist&Billing,NULL,Negative,4 years ago
"
Bersih",Cleanliness,NULL,Positive,9 months ago
"
Pelayanannya sangat bagus. Fasilitasnya mantap. Bangunannya top. Dan yang paling penting tarif berobat dan biaya lain2 nya masih bisa dibilang normal. Bahkan bisa dibilang sangat murah bila di compare dgn fasilitasnya. Saya rekomendasikan nasional hospital ini jg buat kalangan menengah kebawah. Jangan khwatir",Cost,NULL,Positive,3 years ago
"
Layanan telpon emergency buruk sekali, tanpa alasan nutup telpon konsumen tanpa etika!!!",Receptionist&Billing,NULL,Negative,2 years ago
"
Tempatnya keren aku bisa minum kopi sepuasnya karena harganya murah pelayannanya cepat oke lah ",Waiting Time,NULL,Positive,3 years ago
"
pelayanan ramah dan cepat. siip pokoknya. lumayan murah bagi umum.","Waiting Time, Cost","NULL, NULL","Positive, Positive",2 years ago
"
Penanganan pasien di IRD / UGD tidak mengecewakan. Peralatan lengkap plus ada kedai kopi di dalamnya.
Parkir basement cukup lapang dengan akses lift menuju lantai atas.
Hanya saja tarif yg dikenakan cukup mahal.","Receptionist&Billing, Test&Examination, Parking, Cost","Emergency Unit, NULL, Basement, NULL","Positive, Positive, Positive, Negative",4 years ago
"
Rumah sakit konsep modern, saking modern saya pertama bingung ini RS ato mall.. Hahaha
Enak banget buat nongkrong dan ketemuan.
Tersedia Starbuck dan tempat duduk sofa yg banyak di lobby.",Food,Starbucks,Positive,4 years ago
"
Perawatnya ramah dan pelayanannya jga bagus...
Besok mau ngambil hasil PA lgi di National Hospital",Nurse,National Hospital,Positive,3 years ago
"
sangat puas dengan pelayanan di sini",NULL,NULL,Positive,11 months ago
"
Pelayanan...siip",NULL,NULL,Positive,3 years ago
"
Susternya not good",Nurse,NULL,Negative,a year ago
"
Saya 2 minggu dirawat sama dr aca...baik dan ramah",Doctor,NULL,Positive,3 years ago
"
Pelayanannya mantap,gk ber tele tele,dan semua anggota siap sedia membantu keluhan anda",NULL,NULL,Positive,4 years ago
"
Mantaps",NULL,NULL,Positive,11 months ago
"
Bagus dan bersih rmh sktnya. Nyaman jg. Good job national hospital",Cleanliness,National Hospital,Positive,4 years ago
"
Pelayanan baik, bersih dan suasana nyaman.. dekat dari kawasan perumahan",Cleanliness,NULL,Positive,3 years ago
"
Rumah sakitnya keren, sapingnya ada starbuck enak buat ngopi",Food,Starbucks,Positive,3 years ago
"
Rumah sakit berasa mall
Langsung sembuh baru sampe sini",NULL,NULL,Positive,4 years ago
"
Rumah sakit modern berstandar internasional",NULL,NULL,Positive,6 years ago
"
Tapi enak gubuk di persawahan...tapi sehat.,",NULL,NULL,Positive,a year ago
"
Masyaallah, full fasilitas",NULL,NULL,Positive,10 months ago
"
Ada starbucks, teapresso, bank mandiri dll",Food,NULL,Positive,a year ago
"
Space yang luas:lobby, ruang tunggu dan tempat parkir",Parking,NULL,Positive,3 years ago
"
Bersih dan mewah",Cleanliness,NULL,Positive,2 years ago
"
Keren ini RS sudah kayak hotel",NULL,NULL,Positive,2 years ago
"
Top lah mah pokokna...",NULL,NULL,Positive,4 years ago
"
Assalammualaikum. apakah di National Hospital ini ada alatt untuk operasi MED untuk gejala hnp ??",Test&Examination,National Hospital,Neutral,3 years ago
"
Aku pernah ketempat ini.  Pas nganter korban kecelakaan",NULL,NULL,Neutral,4 years ago
"
Hasil operasi tumor otak sama perawatan memuaskan",NULL,NULL,Positive,4 years ago
"
Bagus sih tapi mahal",Cost,NULL,Negative,3 years ago
"
NH SBY",NULL,National Hospital,Neutral,2 years ago
"
best of rumah sakit from surabaya",NULL,NULL,Positive,3 years ago
"
Keponakan saya nginep semalam, habis 3jt. Wkokokok",Cost,NULL,Neutral,4 years ago
"
Pelayanannya superrr mantap",NULL,NULL,Positive,3 years ago
"
Ramah juga nih dokter anaknya, hehehe... ",Doctor,NULL,Positive,4 years ago
"
hanya ke starbucks nya saja..",Food,Starbucks,Neutral,2 years ago
"
Keamanan Pasien kurang di perhatikan",Safety,NULL,Negative,2 years ago
"
...sesuai harganya,,",Cost,NULL,Positive,a year ago
"
Salah satu rumah sakit elite di surabaya",NULL,NULL,Positive,3 years ago
"
Sudah 5x kali kesini dan nyaman deh",NULL,NULL,Positive,3 years ago
"
Baguss",NULL,NULL,Positive,a year ago
"
Rumah sakit mewah dan pelayanan oke.",NULL,NULL,Positive,6 months ago
"
Rumah Sakit ini bersandar Internasional.",NULL,NULL,Positive,2 years ago
"
Recommend bgt",NULL,NULL,Positive,2 years ago
"
Perawatnya tidak baik",Nurse,NULL,Negative,2 years ago
"
Bersih sekali dan modern",Cleanliness,NULL,Positive,3 years ago
"
apa menerima BPJS mandiri ?",NULL,NULL,Neutral,3 years ago
"
Tenang",NULL,NULL,Positive,2 years ago
"
Megah rumah sakitnya, untuk kalangan atas.",NULL,NULL,Positive,3 years ago
"
modern dan bersih ..",Cleanliness,NULL,Positive,3 years ago
"
smoga sukses",NULL,NULL,Positive,3 years ago
"
Hiburannya asik, gk kaya rumahsakit",NULL,NULL,Positive,4 years ago
"
Bagus..",NULL,NULL,Positive,4 years ago
Ok. Good hospital. Old Building and Been renovated. Been staying here for 3days 2 night. They have chapel too.  Keep up the good work.,NULL,NULL,Positive,5 months ago
Good Vibes for medical check up. Many expert doctors,"Test&Examination, Doctor","NULL, NULL","Positive, Positive",8 months ago
Catholic hospital. The condition and environment are clean. At inside there is praying room and Maria cave,Cleanliness,NULL,Positive,a month ago
"Used to be a nice hospital, legacy from the colonial time but the new hospital building seems like it lacks planning and concept",NULL,NULL,Negative,4 months ago
"One of the best hospital (clean, healthy, with hospitality staff, nurses and Doctors) in Surabaya (Wonokromo area) East Java.","Cleanliness, Receptionist&Billing, Nurse, Doctor","NULL, NULL, NULL, NULL","Positive, Positive, Positive, Positive",a year ago
Here once to visit a friend quite some times ago.. it's an old catholic hospital with big lush green garfdens.. very well managed but need a retouch for the waiting rooms..,NULL,NULL,Positive,2 years ago
The best service in town ,NULL,NULL,Positive,a year ago
"catholic hospital with church and mary cave inside
nice service  and recomended hospital",NULL,NULL,Positive,5 months ago
Good service nurse. Nice and happy,Nurse,NULL,Positive,2 years ago
"Too much birocrazy and too slow in service. Service quality is very very poor.
Especially the radiology section.",Receptionist&Billing,Radiology Section,Negative,8 months ago
"Thank you for serve and service this place is good reference and recommended for all people accept BPJS and Trauma Center (TC)
Thank you",NULL,NULL,Positive,2 years ago
"Can't emphasize enough on the staffs! Most nurses i asked worked for over 20 years. Even the cleaning services are helpful and super clean (not like other hospital they know nothing n just being ignorant). I chose this hospital for delivery and it was a great experience with the staffs. The greeneries (park) maybe the biggest n its good for recovery i guess. The hospital price was also fair. The downside is just limited parking space and buildings felt a bit old (but i heard they're renovating and making new buildings lately) . Overall, great hospital with great resources.","Nurse, Cleanliness, Cost, Parking","NULL, NULL, NULL, NULL","Neutral, Positive, Positive, Negative",a year ago
Nice hospital. But need more space for parking lot,Parking,NULL,Negative,a year ago
"Building ia good well maintain but the service and their helpfullness was very unsatisfied and not patient oriented, we were supposed to check out on the afternoon, but we have to wait for the all the administration things and wait till around 10 pm , and thats because we keep asking regulary every hour to the nurses, chasing them, where is the stuck process,  whats keeping so long, and everybody said its the procedure or SOP especially take quite a time with insurance. Thank you for the valuable experience i learn from here.","Receptionist&Billing, Waiting Time","NULL, NULL","Negative, Negative",11 months ago
Nice and quite hostipal. With the old archi.,NULL,NULL,Positive,a year ago
Unfriendly Staff and Bad Service,NULL,NULL,Negative,a month ago
"This is a good hospital.. 
they have pretty much everything in this place 
The parking lot is big and they have a lovely garden in the middle.
",Parking,NULL,Positive,a year ago
"old but clean catholic hospital.. they have many famous doctors compare to another hospitals.. 
but what a pity the service is very bad..  they employ old people to be nurses, cashier, and receptionist which are very slow, not so smart, and lazy to work.. even only to answer the patient's question..","Cleanliness, Doctor, Receptionist&Billing, Nurse","NULL, NULL, NULL, NULL","Positive, Positive, Negative, Negative",a year ago
"lousy young nurse action at pavilion room 5, they sometimes left their patient for long break supper when night shift...sometimes some young nurse (4 years employed) doing procedures beyond rules & normal method with their reason for quickness & not burden their free time...lousy act on burdening patient with bulging the medication bill by their careless... these young nurses and midwife work quality was detrimental and more often tarnished the hospital brand quality and vocational school which they graduated..and also they are not respecting their supervisor","Nurse, Receptionist&Billing","Pavilion Room 5, NULL","Negative, Negative",a year ago
"Maybe the best hospital in town. With dedicated and friendly staff in a clean and rather quiet environment.
RKZ stands for 'Rooms Katholiek Ziekenhuis' (Roman Catholic Hospital) - the old Dutch name. People from all walks and religions are, however, welcome here. At the same time you still see quite a few - old but active - Catholic nuns in the corridors of this hospital.","Receptionist&Billing, Cleanliness","Rkz Hospital, Rkz Hospital","Positive, Positive",2 years ago
"Hospital in the middle of the city with large garden, it helps recovering process of patients ",NULL,NULL,Positive,3 years ago
"Very friendly and knowledgeable staff. They helped me prepare a trip to Borneo for which I needed medicine, vaccinations and a first aid training - all of this could be solved with the help of the RKZ team. Thank you very much!",Receptionist&Billing,Rkz Hospital,Positive,3 years ago
its helpful for me and easy to find location,NULL,NULL,Positive,a year ago
Very very very good Hospital in Surabaya. This hospital is number 1 in this town!,NULL,NULL,Positive,3 years ago
"It was a nice hospital, but the parking spot is too limited. ",Parking,NULL,Negative,4 years ago
Need more parking spaces,Parking,NULL,Negative,a year ago
"i still remembered, when treated by Dessy nurse",Nurse,NULL,Neutral,a year ago
Car parking area always full on rush hour ,Parking,NULL,Negative,2 years ago
historical hospital,NULL,NULL,Positive,4 months ago
Good service and nurse so sweet,Nurse,NULL,Positive,2 years ago
"Nice and professional nurses, almost complete facility, clean, and most importantly good doctors","Nurse, Cleanliness, Doctor","NULL, NULL, NULL","Positive, Positive, Positive",3 years ago
This is where my children are born.,NULL,NULL,Positive,a year ago
Green hospital ever,NULL,NULL,Positive,a year ago
Top,NULL,NULL,Positive,11 months ago
Parking is so hard,Parking,NULL,Negative,2 years ago
Nice!,NULL,NULL,Positive,2 years ago
Well preserved old catholic hospital,NULL,NULL,Positive,3 years ago
Poor,NULL,NULL,Negative,3 years ago
Great Hospital,NULL,NULL,Positive,4 years ago
Ok,NULL,NULL,Positive,4 years ago
"
datang pertama ke igd jam setengah 7 mau periksa, disarankan ke poli spesialis penyakit dalam. kita turuti. katanya jam 7 sudah bisa dengan dokter caroline. sampai ke poli, daftar dan lain"", menunggu. sudah cek darah dan rontgen, terpaksa menunggu sampai jam 9. karena infonya disuruh menunggu sampai jam 9. kecewa nya info dari unit ugd yang bilang jam 7 sudah bisa. ternyata hoaxxxx.","Receptionist&Billing, Waiting Time","Emergency Unit, Emergency Unit","Negative, Negative",a week ago
"
Perawatan baik, dokter UGD ramah, rumah sakitnya jg asri",Doctor,Emergency Unit,Positive,a month ago
"
RUMAH SAKIT NYA BAGUS,,DOKTERNYA PERAWAT NYA RAMAH TAPI PETUGAS KEAMANAN NYA KURANG RAMAH DAN TIDAK NIAT BEKERJA,,SAYA SEBAGAI PASIEN DISITU SANGAT KECEWA DENGAN PETUGAS KEAMANANNYA YANG KERJANYA CUMA TIDUR DAN KURANG RAMAH..","Doctor, Nurse","NULL, NULL","Positive, Positive",a week ago
"
Rumah sakit peninggalan jaman Belanda.Ada ruangan terbuka hijau di tengah-tengahnya yang menyejukkan mata dan juga memberi efek rileks baik bagi pasien,tenaga medis maupun pengunjung yang datang.

Bersih dan terawat rapi.Untuk membersihkan lantainya saja dipergunakan alat khusus dari staff yang bertugas.

Disediakan juga mesin otomatis yang menjual berbagai macam minuman mulai harga Rp.5.000,- 

Untuk tenaga medis yang bertugas,rata-rata cukup ramah setiap kali berpapasan,walau hanya sekedar melempar senyum kecil,ya.

Saya pikir,ramah tidaknya mereka juga tergantung dari sikap kita.Tidak ada salahnya juga bersikap ramah kepada mereka yang sehari-hari sudah bergelut dengan berbagai macam jenis penyakit demi membantu kesembuhan si sakit.","Cleanliness, Doctor","NULL, NULL","Positive, Positive",a year ago
